year,name,xc,yc,a,b,color
565,Erde,-0.003480120831633427,-0.016936441912699017,0.9998687560224657,0.9999912659585046,#1f77b4
565,Mars,-0.08957592253460275,0.1081317089704772,1.5195301747105727,1.5205271331308783,#ff6347
565,Jupiter,-0.23369541584769296,0.03803057958214598,5.201491901617788,5.198348375904171,#d2b48c
565,Saturn,-0.25170278198400853,-0.5333334128827343,9.518875958057476,9.542973212887832,#f0e68c
565,Uranus,0.7595613432299592,-0.4073664055457243,19.189600556387383,19.177228773443634,#add8e6
565,Neptun,-0.22350337447494265,-0.13292005448575592,30.049525480063817,30.058572374839862,#4169e1
566,Merkur,-0.04590504046802634,-0.06536134973492148,0.3808350770833575,0.3824030783660022,#aaaaaa
566,Venus,0.0019587579409491734,-0.005014789990190404,0.7222981912459525,0.7230783432742638,#f5deb3
566,Erde,-0.003480997458665519,-0.016922390585592622,0.9998673327491086,0.9999822889473742,#1f77b4
566,Mars,-0.08973492241759529,0.10807369113484384,1.5197004526688596,1.5205637795891458,#ff6347
566,Jupiter,-0.23378935129735162,0.037875729701760175,5.201482952113008,5.198172417921194,#d2b48c
566,Saturn,-0.2513775095268578,-0.533542894079191,9.518512579672064,9.542944920427788,#f0e68c
566,Uranus,0.7595563234605655,-0.40705691340023314,19.18975856909454,19.176761685149902,#add8e6
566,Neptun,-0.22347415229951714,-0.13290435779411552,30.04956036555008,30.058570701462063,#4169e1
567,Merkur,-0.045884353565090706,-0.06537186217241381,0.38083302824276055,0.38240707520930406,#aaaaaa
567,Venus,0.0019514769182252987,-0.0050589791658217165,0.7222998674978556,0.7230843567650094,#f5deb3
567,Erde,-0.0034779507861924168,-0.01690258586744065,0.9998569927903205,0.9999914702097927,#1f77b4
567,Mars,-0.08990360077356455,0.10802736582382365,1.5195301094304328,1.520501407761234,#ff6347
567,Jupiter,-0.2338256030288231,0.037389603338509464,5.201703213677019,5.197458081170295,#d2b48c
567,Saturn,-0.25074589328795366,-0.5337842524124461,9.517660977850166,9.543112411004062,#f0e68c
567,Uranus,0.7595322497763909,-0.4067880426844389,19.189892993296027,19.176358460985252,#add8e6
567,Neptun,-0.22342334555461957,-0.13287351348092252,30.049617468968783,30.05857318268608,#4169e1
568,Merkur,-0.045865728711237716,-0.06538509065019961,0.38083085754196744,0.3824085344559969,#aaaaaa
568,Venus,0.0019515103874925962,-0.005033549606363399,0.7223052193450059,0.723102067090327,#f5deb3
568,Erde,-0.0034719423766190203,-0.01692095893924397,0.9998537518315624,0.9999908427125688,#1f77b4
568,Mars,-0.08991942384077976,0.10788777955031462,1.5195136920400811,1.5206381836482228,#ff6347
568,Jupiter,-0.23357644488658919,0.036838722950172986,5.201791796431181,5.196767881073,#d2b48c
568,Saturn,-0.249827027071797,-0.5339241764728464,9.516301505281515,9.543536924816687,#f0e68c
568,Uranus,0.7594956606420459,-0.40656135567224155,19.190000009294714,19.17602334680144,#add8e6
568,Neptun,-0.2233551196953822,-0.13282826283779822,30.049690013246913,30.058582743198233,#4169e1
569,Merkur,-0.04585248242425443,-0.06539780154950368,0.38082791431093166,0.38241020682839943,#aaaaaa
569,Venus,0.0019352853796885457,-0.0050131110380103065,0.7222953519916591,0.7230867688809688,#f5deb3
569,Erde,-0.003475081941075675,-0.01694479051670581,0.9998546659092256,1.0000021313069474,#1f77b4
569,Mars,-0.089928010604416,0.10775982467481787,1.519525637319112,1.5205461959123516,#ff6347
569,Jupiter,-0.2331950329643313,0.03654162784874729,5.201428040075824,5.196650168436058,#d2b48c
569,Saturn,-0.24869940275602406,-0.5338566230512798,9.514606081118936,9.54410684675714,#f0e68c
569,Uranus,0.7594525561176728,-0.4063752434517236,19.19007981780311,19.175754233755516,#add8e6
569,Neptun,-0.22327657159528508,-0.13277268086079128,30.049770135817845,30.058599038183647,#4169e1
570,Merkur,-0.045839526205152664,-0.06541114374408888,0.38082501508498634,0.38241137189612084,#aaaaaa
570,Venus,0.001971188991209775,-0.0050385084496199,0.722292212155142,0.7230834927861123,#f5deb3
